id,response
L3-Q-EASY-011,นโยบาย refund signing authority ladder ฉบับล่าสุดของฟ้าใหม่มีผลบังคับใช้ตั้งแต่วันที่ 2025-02-15 ครับ (policy_version_id = 6)
L3-Q-EASY-012,"MSRP ของสินค้ารหัส SF-Galaxy-Pro-2568 (SaiFah smartphone flagship) อยู่ที่ 38,900 บาทครับ"
L3-Q-EASY-013,FahMai มี vendor ทั้งหมด 6 รายในไดเรกทอรี DIM_VENDOR (นับทุกราย ทั้งที่ยังใช้งานอยู่และที่ยุติสัญญาไปแล้ว) ครับ
L3-Q-EASY-014,"สาขาที่มีจำนวนรายการขายตลอดประวัติศาสตร์มากที่สุดคือ BKK-SIAM โดยมีทั้งหมด 18,084 รายการครับ"
L3-Q-EASY-015,FahMai มีพนักงานทั้งหมด 600 คนในไดเรกทอรี DIM_EMPLOYEE ครับ
L3-Q-EASY-016,ในวันที่ 15 ธันวาคม 2024 ลูกค้าสามารถคืนสินค้าได้ภายใน 14 วันตามนโยบายของฟ้าใหม่ที่มีผลบังคับใช้ ณ วันนั้นครับ
L3-Q-EASY-017,ฟ้าใหม่มีลูกค้าประเภท B2B ทั้งหมด 300 รายใน DIM_CUSTOMER ครับ
L3-Q-EASY-018,อัตราการสะสม FahMai Points ต่อบาทที่มีผลบังคับใช้ก่อนวันที่ 1 เมษายน 2025 อยู่ที่ 0.01 แต้มต่อบาทครับ
L3-Q-EASY-019,อัตราการสะสม FahMai Points ต่อบาทที่มีผลบังคับใช้ตั้งแต่วันที่ 1 เมษายน 2025 เป็นต้นไปอยู่ที่ 0.0125 แต้มต่อบาทครับ
L3-Q-EASY-020,"vendor ขนส่งที่รับผิดชอบรายการขนส่งให้ FahMai คือ VeloShip (V-006) โดยมีจำนวนรายการขนส่งทั้งหมด 23,182 รายการใน FACT_SHIPPING ครับ"
L3-Q-EASY-021,"ขณะนี้มีลูกค้าที่อยู่ใน loyalty_tier ระดับ gold ทั้งหมด 7,500 รายใน DIM_CUSTOMER ครับ"
L3-Q-EASY-022,ระดับสมาชิก (tier) ที่สูงที่สุดที่มีการกำหนดให้กับลูกค้าจริงในฐานข้อมูล DIM_CUSTOMER คือระดับ platinum ครับ
L3-Q-EASY-023,ฟ้าใหม่มีบัญชีธนาคารที่ใช้ดำเนินงานทั้งหมด 14 บัญชีตาม DIM_BANK_ACCOUNT ครับ
L3-Q-EASY-024,"refund threshold ที่มีผลบังคับใช้ ณ วันที่ 1 เมษายน 2025 อยู่ที่ 5,000 บาทครับ (policy_version_id = 12)"
L3-Q-EASY-025,ฟ้าใหม่มีแคมเปญโปรโมชันที่แตกต่างกันทั้งหมด 7 แคมเปญในไดเรกทอรี DIM_PROMO_CAMPAIGN ครับ
L3-Q-MED-001,"SKU ที่ขายดีที่สุดตามจำนวนชิ้นแยกรายปีเป็นดังนี้ครับ: ปี 2024 (พ.ศ. 2567) คือ SKU-MASS-063 ขายได้ 1,508 ชิ้น ส่วนปี 2025 (พ.ศ. 2568) คือ SF-Galaxy-Pro-2568 ขายได้ 4,370 ชิ้น"
L3-Q-MED-002,"รายการฝากเดี่ยว (single credit) ที่สูงที่สุดใน FACT_BANK_TRANSACTION มีจำนวนเงิน 18,906,765 บาท เกิดขึ้นวันที่ 2025-07-15 เข้าบัญชี OPER-REMOTE ครับ โดย source event คือยอดขายออนไลน์วันเปิดตัว SF-Galaxy-Pro (batch ชำระผ่านบัตรเครดิต)"
L3-Q-MED-003,"ลูกค้า B2C ที่ earn คะแนนสะสมรวมมากที่สุดคือ CUST-L3-023922 ครับ โดย earn ไปทั้งสิ้น 15,738 แต้ม (นับเฉพาะ event_type = earned) และปัจจุบันอยู่ใน loyalty_tier ระดับ platinum"
L3-Q-MED-004,ลูกค้า B2B ที่จ่ายเงินช้าที่สุดในปี 2025 คือ CUST-L3-B2B-020600 ครับ โดยชำระล่าช้ากว่ากำหนด 14 วัน (payment_received_date 2025-12-31 เทียบกับ payment_due_date 2025-12-17) และใช้ payment_terms แบบ NET-60
L3-Q-MED-005,ในปี 2568 SKU ที่มีเหตุการณ์ stockout (closing_units = 0) ต่อสาขาต่อเดือนรวมมากที่สุดคือ SKU-MASS-048 โดยเกิด 11 ครั้ง และกระทบสาขาหน้าร้าน 10 สาขาครับ
L3-Q-MED-006,"เปรียบเทียบแคมเปญ 11.11 Mega Sale ปีต่อปีจาก FACT_PROMO_REDEMPTION ได้ดังนี้ครับ: ปี 2567 (MEGA-1111-2567) มี 267 redemption รวมส่วนลด 1,308,360 บาท ส่วนปี 2568 (MEGA-1111-2568) มี 442 redemption รวมส่วนลด 2,868,084 บาท"
L3-Q-MED-007,"ตะกร้า B2C ใบเดียวที่มียอด basket_total_thb สูงที่สุดคือรายการ TXN-202411-03026757 ที่สาขา BKK-EMSP โดยมียอดรวมในตะกร้า 320,300 บาทครับ"
L3-Q-MED-008,"ลูกค้า B2B 5 อันดับแรกที่มียอดซื้อสูงสุดในปี 2024 (net_total_thb) เรียงจากอันดับ 1 ลงไปคือครับ: (1) CUST-L3-B2B-002600 ยอด 7,548,210 บาท (2) CUST-L3-B2B-021100 ยอด 7,405,700 บาท (3) CUST-L3-B2B-019600 ยอด 6,817,740 บาท (4) CUST-L3-B2B-026300 ยอด 6,774,900 บาท และ (5) CUST-L3-B2B-003500 ยอด 6,758,870 บาท"
L3-Q-MED-009,ลูกค้าที่ซื้อและรับของในวันที่ 15 กุมภาพันธ์ 2025 มีสิทธิ์ขอคืนสินค้าได้ภายใน 14 วันนับจากวันที่รับสินค้า ตามนโยบายที่มีผลบังคับใช้ในวันนั้นครับ
L3-Q-MED-010,"ในวันที่ 20 มีนาคม 2568 (2025-03-20) เพดานวงเงินคืนเงิน (refund threshold) ที่ฟ้าใหม่ใช้บังคับอยู่คือ 5,000 บาท และเป็น policy_version_id หมายเลข 12 ครับ"
L3-Q-MED-011,ในช่วง 2025-12-25 ถึง 2025-12-31 มีรายการคืนสินค้าใน FACT_RETURN ทั้งหมด 74 รายการครับ ซึ่งเมื่อจัดกลุ่มตาม return_reason แล้วทั้งหมดเป็นเหตุผลเดียวคือ customer_change_of_mind (74 รายการ)
L3-Q-MED-012,"เมื่อนับเฉพาะธุรกรรมขาเข้า (credit) และไม่นับบัญชี KBANK-OPER บัญชีที่มี credit volume รวมสูงที่สุดในช่วงปี 2024-2025 คือ OPER-BKK-SIAM โดยมียอดรวม 579,680,857 บาทครับ"
L3-Q-MED-013,"Top 3 SKU ที่ทำยอดขายรวม (line_total_thb) สูงสุดเรียงจากมากไปน้อยคือครับ: (1) DN-LT-010 ยอด 228,465,900 บาท (brand_family Dawn) (2) SF-Galaxy-Pro-2568 ยอด 169,993,000 บาท (brand_family SaiFah) และ (3) SKU-MASS-019 ยอด 159,538,600 บาท (brand_family FahMai)"
L3-Q-MED-014,"ในช่วง pre-launch baseline ก่อนเปิดตัว SF-Galaxy-Pro (ก่อน 2025-07-15) basket size เฉลี่ยต่อ transaction ของยอดขายหน้าร้านสาขา (offline) อยู่ที่ 58,040.03 บาท ส่วนช่องทางออนไลน์ (สาขา REMOTE) อยู่ที่ 37,993.83 บาทครับ"
L3-Q-MED-015,NT-LT-001 (Powercell X3) เคยถูก recall จริงครับ โดยใน dim_product_recall_history มีการเปลี่ยน status ทั้งหมด 3 ครั้งตามลำดับเวลา คือ normal (2024-01-01) → active (2025-09-10) → completed (2025-10-15)
L3-Q-MED-016,ในปี 2568 สาขาที่มีอัตราการคืนสินค้าสูงสุดคือ HKT-FEST ที่ 6.83% ส่วนสาขาที่มีอัตราต่ำสุดคือ REMOTE ที่ 3.88% ครับ (หากนับเฉพาะสาขาหน้าร้าน สาขาที่ต่ำสุดคือ KKC-CTRL ที่ 4.97%)
L3-Q-MED-017,"transaction เดียวที่มียอดรวมเฉพาะ DN-LT-010 สูงที่สุดคือรายการ TXN-202509-14028900 มีมูลค่า 254,700 บาท โดยขายไป 3 เครื่องครับ"
L3-Q-MED-018,"ในปี 2568 ค่าธรรมเนียมธนาคาร (transaction_type = fee) มีทั้งหมด 24 รายการ โดยมียอดรวม -15,600 บาทครับ"
L3-Q-MED-019,"จำนวน SKU ที่แตกต่างกัน (distinct sku_id) ที่ขายในแต่ละเดือนของปี 2568 เรียงจากมกราคมถึงธันวาคมเป็นดังนี้ครับ: (109, 109, 109, 109, 109, 109, 110, 110, 110, 110, 110, 110)"
L3-Q-MED-020,ในปี 2568 วันของสัปดาห์ที่มีจำนวนรายการคืนสินค้าจากลูกค้า B2C มากที่สุดคือวันพฤหัสบดี (Thursday) โดยมี 536 รายการครับ
L3-Q-HARD-001,"กรณี invoice ซ้ำของ V-013 (PayWise) สรุปได้ดังนี้ครับ: (1) invoice ID ที่ถูกแจ้งว่าซ้ำคือ PW-INV-2568-04823 (2) ใน FACT_VENDOR_PAYMENT มี 2 แถวที่ใช้ invoice ID นี้ และ (3) แถวแรกจ่าย 89,000 บาท (posting_date 2025-04-05) ส่วนอีกแถวจ่าย 104,500 บาท (posting_date 2025-09-10) โดย chat ภายในระบุว่าทีม AP กำลัง verify ว่า record ใดเป็น canonical"
L3-Q-HARD-002,"ในวันที่ 2025-07-15 (โปรโมชัน SF-LAUNCH-2568) FACT_PROMO_REDEMPTION มี 5 แถว (เป็น txn unique 4 รายการ) โดยมี phantom duplicate จาก app channel 1 รายการครับ และมีการแจ้งปัญหานี้ใน LINE WORKS thread ของวันนั้น ส่วนลดที่ถูกนับซ้ำคิดเป็น 4,135 บาท (raw 15,840 เทียบกับ dedup 11,705) ทำให้ยอด redemption รวมของวันนั้น inflate ไปประมาณ 35.3%"
L3-Q-HARD-003,วันที่เกิด spike ของสาขา REMOTE ในปี 2025 คือ 2025-07-15 ครับ โดย SKU ที่ครองสัดส่วนรายการในวันนั้นคือ SF-Galaxy-Pro-2568 (501 จาก 512 รายการ) และมีจำนวนธุรกรรมทั้งหมดของสาขา REMOTE ในวันดังกล่าว 512 รายการ
L3-Q-HARD-004,เหตุการณ์ hardware batch defect ที่กระจุกตัวที่สาขาเดียวสรุปได้ว่าครับ: (1) SKU ที่ถูกส่งคืนคือ WK-SW-004 (2) สาขาที่เกิดเหตุคือ HKT-FEST และ (3) มีการคืนที่ระบุสาเหตุ hardware batch defect 28 ครั้งในช่วงเม.ย.–พ.ค. 2568
L3-Q-HARD-005,กลุ่ม shipment ที่ถูก backpost สรุปได้ดังนี้ครับ: (1) มีทั้งหมด 8 รายการ (2) ช่วง business_event_date อยู่ระหว่าง 2024-08-22 ถึง 2024-08-24 (3) posting_date ที่ใช้บันทึก batch นี้คือ 2024-09-30 และ (4) ระยะเวลา lag สูงสุดคือ 39 วัน
L3-Q-HARD-006,จาก FACT_VENDOR_PAYMENT ทั้งหมด มีแถวที่ posting_date ตกในเดือน/ปีที่ต่างจาก business_event_date (cross-month posting) ทั้งหมด 767 แถว และ lag สูงสุดที่พบคือ 28 วันครับ
L3-Q-HARD-007,"ไตรมาสที่ revenue ของสาขา REMOTE สูงผิดปกติคือ 2025 Q3 ครับ โดยมี revenue รวม 178,707,675 บาท ซึ่งคิดเป็นประมาณ 4.27 เท่าของ baseline (ค่าเฉลี่ยอีก 7 ไตรมาสที่ราว 41.8 ล้านบาท)"
L3-Q-HARD-008,"รายการฝากเดี่ยวที่สูงที่สุดใน FACT_BANK_TRANSACTION มียอด 18,906,765 บาท เกิดวันที่ 2025-07-15 เข้าบัญชี OPER-REMOTE ครับ โดยตัวขับเคลื่อนคือยอดขายวันเปิดตัวสินค้า SF-Galaxy-Pro-2568"
L3-Q-HARD-009,ณ snapshot 2025-12-31 สรุปได้ว่าครับ: (1) มี 100 SKU ที่ closing_units = 0 ในทุกสาขา (2) ในจำนวนนั้นไม่มี SKU ใดเลยที่บันทึก end_of_life_date ใน DIM_PRODUCT (0 ตัว) และ (3) snapshot เดือนนั้นครอบคลุม 10 สาขา ซึ่งไม่ตรงกับ DIM_BRANCH ที่มี 11 สาขา โดยสาขาที่หายไปคือ REMOTE
L3-Q-HARD-010,campaign ที่มี ROI ratio (net_total_thb ÷ discount_total_thb) สูงสุดคือ SF-LAUNCH-2568 ครับ โดยมี ROI ประมาณ 19.0 เท่า
L3-Q-HARD-011,"บัญชี OPER-REMOTE สรุปได้ว่าครับ: (1) ในเดือนกรกฎาคม 2025 มียอด deposit รวม 150,986,075 บาท และ (2) คิดเป็น 49.5% ของยอด deposit ทั้งปี 2025 ของบัญชีเดียวกัน (ทั้งปี 305,078,991 บาท)"
L3-Q-HARD-012,"การวิเคราะห์ vendor concentration สรุปได้ดังนี้ครับ: (1) เรียง vendor ตาม paid_amount_thb รวมจากมากไปน้อยคือ V-001 16,320,000, V-002 8,064,000, V-006 3,552,000, V-013 2,032,350, V-014 2,016,000 และ V-018 1,382,400 บาท (2) V-001 ซึ่งเป็นอันดับ 1 คิดเป็น 48.9% ของยอด vendor spend ทั้งหมด และ (3) มี vendor_invoice_id ที่ปรากฏซ้ำของ V-013 จำนวน 1 id"
L3-Q-HARD-013,"การ initialize stock ของ AW-MN-001 สรุปได้ว่าครับ: (1) opening_balance ณ as-of 2024-01-15 รวม 12,652 ชิ้น จาก 11 แถว/11 สาขา (2) สาขาที่ได้รับ opening_balance มากที่สุดคือ REMOTE จำนวน 12,152 ชิ้น และ (3) ในวันที่ 2024-01-15 ไม่มีแถว movement_type = opening_balance เลย (0 แถว) แต่มี transfer_in 10 แถว รวม 500 ชิ้น (ซึ่งไม่นับรวมในข้อ 1)"
L3-Q-HARD-014,"ผลการตรวจสรุปได้ดังนี้ครับ: (1) CEO ปัจจุบันคือ Naret Vision (EMP-L3-00013) ตำแหน่ง CEO โดยการเปลี่ยนผู้ดำรงตำแหน่งมีผลวันที่ 2025-01-15 ตาม leadership transition ใน internal chat (2) ผู้อนุมัติ refund มากที่สุดเมื่อ group by approver_employee_id คือ EMP-L3-00005 (Fin Approver) ตำแหน่ง Finance Manager อนุมัติทั้งหมด 7,116 แถว และ (3) ผู้อนุมัติอันดับ 1 ไม่ใช่บุคคลเดียวกับ CEO — เป็นคนละคน เพราะ EMP-L3-00005 เป็น Finance Manager สังกัดฝ่าย FIN ระดับ Manager ไม่ใช่ C-level"
L3-Q-HARD-015,"กรณี V-013 PayWise สรุปได้ว่าครับ: (1) ใน FACT_VENDOR_PAYMENT มี 2 แถวที่ใช้ vendor_invoice_id PW-INV-2568-04823 (2) แถวที่ posting_date = 2025-04-05 คือ payment_id VP-202504-9096124 จ่ายไป 89,000 บาท และ (3) จาก chat thread ภายในของวันนั้น ทีม AP เป็นผู้รับผิดชอบยืนยันว่า record ใดเป็น canonical โดยสถานะในวันนั้นคือกำลังตรวจสอบ (in progress)"
L3-Q-HARD-016,"การตรวจ promotion SF-LAUNCH-2568 สรุปได้ว่าครับ: (1) มี phantom duplicate 4 แถว (2) เมื่อหัก phantom ออกแล้วมี redemption ที่แท้จริง 39 แถว และ (3) discount_applied_thb รวมที่แท้จริงหลัง dedup คือ 143,505 บาท"
L3-Q-HARD-017,กรณี shipment ล่าช้าช่วง 2024-08-22 ถึง 2024-08-24 สรุปได้ว่าครับ: (1) สาเหตุที่ทีม Logistics แจ้งคือเหตุขัดข้องของผู้ขนส่งชั่วคราว (carrier service disruption) ซึ่งเป็นปัจจัยภายนอก (external) (2) carrier ที่รับผิดชอบคือ V-006 VeloShip และ (3) ในช่วง 3 วันดังกล่าวมี shipment ของ V-006 ทั้งหมด 88 แถว
L3-Q-HARD-018,การวิเคราะห์ยอดขายตกช่วง 2025-04-15 ถึง 2025-05-12 สรุปได้ว่าครับ: (1) สาเหตุมาจากฝั่งอุปทาน (supply/event-driven) คือสาขา BKK-PKT ปิดปรับปรุง ร่วมกับช่วง Songkran และปัญหา component shortage ของ V-005 (2) มี LINE WORKS thread ภายในที่ทีม Ops กับ CS แลกเปลี่ยนเรื่องนี้ 4 thread และ (3) ทาง CS ใช้สถานะเดียวกันแจ้งลูกค้าผ่าน LINE OA จำนวน 150 thread
L3-Q-HARD-019,"ผลการตรวจ refund ที่อนุมัติโดยพนักงานระดับ IC โดยไม่มี co-signer สรุปได้ว่าครับ: (1) มี refund 14 รายการที่ approver เป็นระดับ IC และ cosig_employee_id ว่าง (2) มูลค่ารวม 77,250 บาท (3) ผู้อนุมัติคือ EMP-L3-00010 (May Support) ตำแหน่ง CS Agent สังกัด dept SUP ระดับ IC และ (4) ใน LINE WORKS thread ทีม CS ระบุชื่อขั้นตอนที่ใช้อนุมัติว่า 'standard goodwill-return process' (อนุมัติภายใน agent authority)"
L3-Q-HARD-020,"ผลการตรวจ refund ที่อนุมัติโดย Manager นอกฝ่าย Finance โดยไม่มี co-signer สรุปได้ว่าครับ: (1) มี refund 4 รายการ (2) มูลค่ารวม 19,700 บาท (3) ผู้อนุมัติคือ EMP-L3-00008 (Ollie Logistics) ตำแหน่ง Operations Manager สังกัด dept OPS ระดับ Manager และ (4) ใน LINE WORKS thread ระบุวลีที่ใช้อนุมัติว่า 'goodwill-return process / within agent authority'"
L3-Q-XHARD-001,"ผลการตรวจ ROI ของ SF-LAUNCH-2568 เป็น 5 ค่าดังนี้ครับ: (1) redemption ทั้งหมด 43 รายการ (2) phantom duplicate 4 รายการ (3) unique จริงหลังหัก phantom 39 รายการ (4) net discount cost ตาม POS truth (FACT_SALES.discount_total_thb ของ cohort) 7,542,185 บาท และ (5) net revenue ของ cohort 143,301,515 บาท ทำให้ ROI = 19.0 เท่า ทั้งนี้การ reconcile กับ FACT_BANK_TRANSACTION ของ V-013 PayWise เดือน 2025-07 ยืนยันว่า phantom redemption ไม่มี cash outflow ออกจริง"
L3-Q-XHARD-002,"การทำ bitemporal reconciliation สรุปได้ว่าครับ: invoice ที่ซ้ำคือ PW-INV-2568-04823 ปรากฏ 2 แถว — (a) VP-202504-9096124 จ่าย 89,000 บาท (business_event_date 2025-03-31 / posting 2025-04-05) อยู่ภายใต้ contract V-013 v1 (ถึง 2025-04-01 ไม่มี amendment) และ (b) VP-202509-15179906 จ่าย 104,500 บาท (2025-09-10) อยู่ภายใต้ contract v3 (2025-07-01 ถึง 10-01, amendment 'Yearly rate ladder') เนื่องจากอยู่คนละ contract regime จึงนับเป็น 2 instance อิสระ; cash outflow รวม 193,500 บาท ตรงกับ withdrawal ของ V-013; และ true over-payment = 0 บาท"
L3-Q-XHARD-003,"การ reconcile recall ของ NT-LT-001 สรุปเป็น 6 ส่วนดังนี้ครับ: (1) recall_status เปลี่ยน active 2025-09-10 และ completed 2025-10-15 (2) มี vendor-recall returns 36 รายการ รวม refund ที่จ่ายให้ลูกค้า 1,544,400 บาท (3) policy ที่ active ตั้งแต่ 2025-06-01 กำหนด warranty_routing = novatech_service (4) refund จ่ายจากบัญชีฝั่ง FahMai (KBANK-OPER) (5) ไม่พบ deposit reimbursement จาก V-002 เข้ามาชดเชยเลย (0 รายการ) และ (6) FahMai net cost คำนวณได้แน่นอน = 1,544,400 บาท (outflow หักด้วย reimbursement 0)"
L3-Q-XHARD-004,"การ decompose ยอดขายที่หายไปของ BKK-PKT เดือนเมษายน 2568 เป็น 6-tuple ดังนี้ครับ: (1) baseline ประมาณ 865,000 บาท/operating-day (เฉลี่ยจาก มี.ค.+พ.ค. 2025: 53,603,500/62 วัน) (2) observed gross sales จริงเดือนเมษายน 10,668,300 บาท (3) จำนวน operating days ที่หายไป 18 วัน (PKT เปิดเพียง 12 จาก 30 วัน) (4) ส่วนปิดเฉพาะ PKT (renovation 18–30 เม.ย. 13 วัน) ประมาณ 11,239,000 บาท (5) ส่วนปิด network-wide ช่วง Songkran (13–17 เม.ย. 5 วัน) ประมาณ 4,323,000 บาท และ (6) ผลของ V-005 shortage = 0 เพราะ PKT ปิดก่อน window 04-15 จึงไม่ overlap; root cause หลักคือการปิดสาขาเพื่อ renovation"
L3-Q-XHARD-005,"การทำ 4-tuple attribution ของ network sales gap เดือนเมษายน 2025 สรุปได้ว่าครับ: (1) Songkran-attributable network loss ประมาณ 41,922,000 บาท (สาขา physical ปิดพร้อมกัน 5 วัน 13–17 เม.ย. ที่ราว 8,384,324 บาท/วัน) (2) BKK-PKT incremental closure loss ประมาณ 11,239,000 บาท (ช่วง 18–30 เม.ย. ที่สาขาอื่นกลับมาเปิดแล้วแต่ PKT ยังปิด) (3) combined event-attributable loss ประมาณ 53,161,000 บาท และ (4) demand-side test: สาขา physical อีก 8 แห่งมี per-op-day ในเดือนเมษายน (ช่วงเปิด) ประมาณ 8.00 ล้านบาท สูงกว่า baseline ราว 7.52 ล้านบาท (+6%) จึงตัดสินว่าไม่มี demand-side weakening — ยอดตกเพราะ event ล้วน"
L3-Q-XHARD-006,"ผลการตรวจ refund over-threshold ของ SUP/IC slot สรุปเป็น 6-tuple ดังนี้ครับ: (1) employee_id คือ EMP-L3-00010 (2) violation ก่อน PM1 cutover 6 ราย (เพราะเพดาน IC ก่อน PM1 = 0 ทุกแถว no-cosig จึงเกิน) (3) ผลรวม THB ก่อน-PM1 = 21,750 บาท (4) violation หลัง-PM1 8 ราย (เพดาน SUP/IC = 5,000 ทุกแถวเกิน) (5) ผลรวม THB หลัง-PM1 = 55,500 บาท และ (6) ผลรวมทั้งหมด 77,250 บาท"
L3-Q-XHARD-007,"ภายใน scope ของ Ollie Logistics (EMP-L3-00008) ช่วง 2024-10-01 ถึง 2025-06-30 แยก taxonomy ได้ดังนี้ครับ: missing co-signer = refund 4 รายการ รวม 19,700 บาท; ส่วน vendor payment ที่เกี่ยวข้อง 8 แถว รวม 1,095,000 บาท; late-signing (posting คนละเดือนกับ event) = 0 รายการ; และ wrong-tier พิจารณา per-row เทียบเพดาน Manager 100,000 บาท (เคส V-013 PayWise) อนึ่ง นิยามของ 'flag' ในระบบค่อนข้างกำกวม จึงรายงานตามองค์ประกอบที่ตรวจสอบได้จริง"
L3-Q-XHARD-008,"สรุปสัญญาณเปลี่ยนผ่านอำนาจอนุมัติได้ดังนี้ครับ: (1) Founder & CEO คือ Vichai Leelawong (EMP-L3-00001) และ Incoming CEO คือ Naret Vision (EMP-L3-00013) (2) memo ภายในแจ้งการเปลี่ยนผ่าน CEO อย่างเป็นทางการวันที่ 2025-01-15 (3) signing-authority ladder เปลี่ยนเวอร์ชัน 1 ครั้งในหน้าต่างนี้ มีผลวันที่ 2025-02-15 (4) FACT_REFUND_PAID มี refund ก่อน PM1 cutover 4,015 แถว และตั้งแต่ PM1 เป็นต้นไป 3,119 แถว (รวม 7,134) และ (5) แถว VP-202509-15179906 (2025-09-10) ที่ใส่ EMP-L3-00001 ในช่อง cosig_employee_id ถือเป็นข้อมูล anachronistic เพราะ Vichai พ้นตำแหน่ง CEO ไป 8 เดือนแล้ว จึงควร flag เป็น data-quality concern"
L3-Q-XHARD-009,"ผลการตรวจ batch-defect cluster (โดยยึด branch_code จริงไม่ใช่คำว่า HDY ใน reason) สรุปเป็น 7 ข้อดังนี้ครับ: (1) สาขาที่ได้รับผลกระทบจริงคือ HKT-FEST (FahMai Phuket Festival) (2) สินค้าคือ WK-SW-004 (WatchKit smartwatch) MSRP 5,900 บาท (3) มี batch-defect returns 28 รายการในช่วง 2025-04-01 ถึง 2025-05-31 (4) baseline return-rate ใน 2024-Q4 = 0/21 = 0.00% (5) observed return-rate ใน 2025-Q2 = 29/22 = 131.82% ซึ่งเกิน 100% เป็น signature ของ regime shift (6) ผลรวม return_amount_thb = 165,200 บาท และ (7) มีผู้อนุมัติเพียง 1 คนคือ EMP-L3-00010 (dept SUP ระดับ IC)"
L3-Q-XHARD-010,"ลูกค้า B2B ที่มี open AR เดี่ยวสูงสุด ณ 2026-01-15 สรุปเป็น 7-tuple ดังนี้ครับ: (1) customer_id = CUST-L3-B2B-000200 (2) ชื่อ B2B Customer 000200 (3) account_manager_id = EMP-L3-00002 (4) txn_id = TXN-CL-L5-40298991 (5) business_event_date = 2025-12-18 (6) net_total_thb = 18,000,001.20 บาท และ (7) total cross-fiscal open AR ของลูกค้ารายนี้ = 19,082,341 บาท"
L3-Q-XHARD-011,"การ reconcile warranty cluster ของ V-004 สรุปเป็น 6 ส่วนดังนี้ครับ: (1) batch identifier คือ V-004-MON-BATCH-2567-Q4-001 (2) SKU คือ AW-MN-001 (ArcWave monitor, house brand) MSRP 16,900 บาท (3) cluster มี 35 claim รวม claim_amount_thb 591,500 บาท (= 35 × MSRP) (4) ช่วงวันที่ 2024-12-01 ถึง 2025-04-30 ครอบคลุม 5 เดือนปฏิทิน (5) baseline generic defect = 20/11 = 1.82 ครั้ง/เดือน เทียบกับ window (35+3)/5 = 7.6 ครั้ง/เดือน คิดเป็น lift ประมาณ 4.2 เท่า และ (6) มี 34 distinct customers ซึ่งทั้ง 34 รายไม่มี matching prior purchase ของ SKU นี้เลย (prior-purchase = 0) เป็น phantom-warranty signature"
L3-Q-XHARD-012,"การ reconcile schema ของ POS logs สรุปครบ 6 ค่าดังนี้ครับ: (1) วันที่ schema_version flip จาก 1 เป็น 2 คือ 2025-04-01 (2) ใน v1 ชื่อ column ส่วนลดคือ discount_amt และถูก rename ใน v2 เป็น discount_total_thb (3) v2 เพิ่ม column ที่ไม่มีใน v1 คือ payment_terminal_id, discount_total_thb และ loyalty_tier_at_purchase (4) สาขา BKK-CTW เดือน March 2025 มี POS log 842 บรรทัด (5) เดือน April 2025 มี 702 บรรทัด และ (6) gross revenue ของ BKK-CTW เดือน March 2025 = 17,240,800 บาท"
